№,Titles,Link
1,Акжол Махмудов: Айсулуу Тыныбекова показала нам хороший пример,https://vesti.kg//obshchestvo/item/111596-akzhol-makhmudov-ajsuluu-tynybekova-pokazala-nam-khoroshij-primer.html
2,Туристы из Европы прибыли в Бишкек на поезде,https://vesti.kg//zxc/item/111602-turisty-iz-evropy-pribyli-v-bishkek-na-poezde.html
3,"Большинство дел о пытках в Кыргызстане заканчивается либо оправданием, либо освобождением от уголовной ответственности",https://vesti.kg//obshchestvo/item/111601-bolshinstvo-del-o-pytkakh-v-kyrgyzstane-zakanchivaetsya-libo-opravdaniem-libo-osvobozhdeniem-ot-ugolovnoj-otvetstvennosti.html
4,Ряд глав иностранных государств поздравил Садыра Жапарова и народ Кыргызстана с праздником Орозо айт,https://vesti.kg//politika/item/111600-ryad-glav-inostrannykh-gosudarstv-pozdravil-sadyra-zhaparova-i-narod-kyrgyzstana-s-prazdnikom-orozo-ajt.html
5,Кыргызстанцы победили на международных соревнованиях по спортивным и бальным танцам,https://vesti.kg//obshchestvo/item/111599-kyrgyzstantsy-pobedili-na-mezhdunarodnykh-sorevnovaniyakh-po-sportivnym-i-balnym-tantsam.html
6,Минсельхоз: Красная книга по спорным участкам в рамках земельной амнистии выдается с обременением,https://vesti.kg//zxc/item/111597-minselkhoz-krasnaya-kniga-po-spornym-uchastkam-v-ramkakh-zemelnoj-amnistii-vydaetsya-s-obremeneniem.html
7,Россельхознадзор запретил поставки молочной продукции из Кыргызстана,https://vesti.kg//zxc/item/111598-rosselkhoznadzor-zapretil-postavki-molochnoj-produktsii-iz-kyrgyzstana.html
8,В Оше в праздничном Айт намазе приняли участие более 11 тысяч человек,https://vesti.kg//politika/item/111595-v-oshe-v-prazdnichnom-ajt-namaze-prinyali-uchastie-bolee-11-tysyach-chelovek.html
9,Роботизированные протезы начали ставить детям в Кыргызстане,https://vesti.kg//obshchestvo/item/111594-robotizirovannye-protezy-nachali-stavit-detyam-v-kyrgyzstane.html
10,Президент принял участие в Айт намазе в Бишкеке,https://vesti.kg//politika/item/111593-prezident-prinyal-uchastie-v-ajt-namaze-v-bishkeke.html
11,Садыр Жапаров поздравил кыргызстанцев с праздником Орозо айт,https://vesti.kg//politika/item/111592-sadyr-zhaparov-pozdravil-kyrgyzstantsev-s-prazdnikom-orozo-ajt.html
12,Глава государства назначил новых судей в ряде городов Кыргызстана,https://vesti.kg//politika/item/111590-sadyr-zhaparov-naznachil-novykh-sudej-v-ryade-gorodov.html
13,"Омбудсмен: Родственники граждан КР несколько лет просят вернуть их родных, содержащихся в лагерях беженцев в Сирии",https://vesti.kg//politika/item/111586-ombudsmen-rodstvenniki-grazhdan-kr-neskolko-let-prosyat-vernut-ikh-rodnykh-soderzhashchikhsya-v-lageryakh-bezhentsev-v-sirii.html
14,Безразличны ли депутаты ЖК к соблюдению прав человека в Кыргызстане? Активисты обратились с обращением к ним и президенту,https://vesti.kg//politika/item/111587-bezrazlichny-li-deputaty-zhk-k-soblyudeniyu-prav-cheloveka-v-kyrgyzstane-aktivisty-obratilis-s-obrashcheniem-k-nim-i-prezidentu.html
15,"В Кыргызстан из Казахстана пытались ввезти контрабанду на 7,5 млн сомов",https://vesti.kg//proisshestviya/item/111585-v-kyrgyzstan-iz-kazakhstana-pytalis-vvezti-kontrabandu-na-7-5-mln-somov.html
16,В МВД предупредили: До пяти лет тюрьмы грозит за ложное сообщение о теракте,https://vesti.kg//proisshestviya/item/111591-v-mvd-predupredili-do-pyati-let-tyurmy-grozit-za-lozhnoe-soobshchenie-o-terakte.html
17,Садыр Жапаров обговорил с Каныбеком Осмоналиевым состояние кыргызского языка и перспективы его развития,https://vesti.kg//politika/item/111589-sadyr-zhaparov-obgovoril-s-kanybekom-osmonalievym-sostoyanie-kyrgyzskogo-yazyka-i-perspektivy-ego-razvitiya.html
18,"Большинство исков в Кыргызстане, поданных в суд женщинами, касаются разводов и взыскания алиментов",https://vesti.kg//obshchestvo/item/111584-bolshinstvo-iskov-v-kyrgyzstane-podannykh-v-sud-zhenshchinami-kasayutsya-razvodov-i-vzyskaniya-alimentov.html
19,"ДТП по дороге в аэропорт «Манас»: 15 детей в нейротравматологии, 4 — в реанимации, 1 — в травматологии",https://vesti.kg//proisshestviya/item/111588-dtp-po-doroge-v-aeroport-manas-15-detej-v-nejrotravmatologii-4-v-reanimatsii-1-v-travmatologii.html
20,Пограничники предложили кыргызстанцам принести им книги,https://vesti.kg//obshchestvo/item/111581-pogranichniki-predlozhili-kyrgyzstantsam-prinesti-im-knigi.html
21,Кыргызстан и ОАЭ создали совместное ОАО «Абу-Даби Кыргыз Инвестмент»,https://vesti.kg//zxc/item/111565-kyrgyzstan-i-oae-sozdali-sovmestnoe-oao-abu-dabi-kyrgyz-investment.html
22,"Отец и сын бесстрашно борются с раком, но им нужна ваша помощь",https://vesti.kg//obshchestvo/item/111583-otets-i-syn-besstrashno-boryutsya-s-rakom-no-im-nuzhna-vasha-pomoshch.html
23,"Султанбай Айжигитов: Я против этого законопроекта, потому что нет четких критериев стратегического объекта",https://vesti.kg//politika/item/111582-sultanbaj-ajzhigitov-ya-protiv-etogo-zakonoproekta-potomu-chto-net-chetkikh-kriteriev-strategicheskogo-obekta.html
24,"«Где логика: один рынок является стратегическим, а другой нет?» Адахан Мадумаров об охране режимных объектов",https://vesti.kg//politika/item/111580-gde-logika-odin-rynok-yavlyaetsya-strategicheskim-a-drugoj-net-adakhan-madumarov-ob-okhrane-rezhimnykh-obektov.html
25,Садыр Жапаров подписал закон о соглашении с Узбекистаном по сборке машин в Кыргызстане,https://vesti.kg//politika/item/111575-sadyr-zhaparov-podpisal-zakon-o-soglashenii-s-uzbekistanom-po-sborke-mashin-v-kyrgyzstane.html
26,"Дастан Бекешев: Антимонопольная служба вообще не работает, ее не слышно и не видно",https://vesti.kg//politika/item/111579-dastan-bekeshev-antimonopolnaya-sluzhba-voobshche-ne-rabotaet-ee-ne-slyshno-i-ne-vidno.html
27,Завтра центр Бишкека закроют на время праздничного намаза,https://vesti.kg//obshchestvo/item/111572-zavtra-tsentr-bishkeka-zakroyut-na-vremya-prazdnichnogo-namaza.html
28,Минздрав: В ДТП на трассе Бишкек — аэропорт «Манас» пострадало 18 человек,https://vesti.kg//proisshestviya/item/111578-minzdrav-v-dtp-na-trasse-bishkek-aeroport-manas-postradalo-18-chelovek.html
29,Родители поменялись местами с учителями в одной из бишкекских школ,https://vesti.kg//obshchestvo/item/111571-roditeli-pomenyalis-mestami-s-uchitelyami-v-odnoj-iz-bishkekskikh-shkol.html
30,Бактыбек Сыдыков: Почему нет закона о защите интересов производителей?,https://vesti.kg//politika/item/111577-baktybek-sydykov-pochemu-net-zakona-o-zashchite-interesov-proizvoditelej.html
